name,code,semester,department,division,credit,time,capacity,grade
공학수학2,BSM095,2학기,교양학부,4,3,"월01A~02B,수01A~02B",50,2
공학수학2,BSM095,2학기,교양학부,8,3,"화01A~02B,목01A~02B",50,2
직업능력개발훈련평가,HRD011,2학기,HRD학과,1,2,월06A~07B,50,3
직업능력개발훈련평가,HRD011,2학기,HRD학과,2,2,수01A~02B,50,3
직업능력개발훈련평가,HRD011,2학기,HRD학과,3,2,수03A~04B,50,3
직업능력개발훈련평가,HRD011,2학기,HRD학과,4,2,월01A~02B,50,3
직업능력개발훈련평가,HRD011,2학기,HRD학과,5,2,월03A~04B,50,3
직업능력개발훈련평가,HRD011,2학기,HRD학과,6,2,월03A~04B,50,3
직업능력개발훈련평가,HRD011,2학기,HRD학과,7,2,금06A~07B,50,3
직업능력개발훈련평가,HRD011,2학기,HRD학과,8,2,목01A~02B,50,3
직업능력개발훈련평가,HRD011,2학기,HRD학과,9,2,목03A~04B,50,3
직업능력개발훈련평가,HRD011,2학기,HRD학과,10,2,금03A~04B,50,3
NCS기반프로그램개발,HRD020,2학기,HRD학과,1,2,화01A~02B,50,2
NCS기반프로그램개발,HRD020,2학기,HRD학과,2,2,화03A~04B,50,2
NCS기반프로그램개발,HRD020,2학기,HRD학과,3,2,화06A~07B,50,2
NCS기반프로그램개발,HRD020,2학기,HRD학과,4,2,화06A~07B,50,2
NCS기반프로그램개발,HRD020,2학기,HRD학과,5,2,화01A~02B,50,2
NCS기반프로그램개발,HRD020,2학기,HRD학과,6,2,월01A~02B,50,2
NCS기반프로그램개발,HRD020,2학기,HRD학과,7,2,월06A~07B,50,2
NCS기반프로그램개발,HRD020,2학기,HRD학과,8,2,목01A~02B,50,2
NCS기반프로그램개발,HRD020,2학기,HRD학과,9,2,월03A~04B,50,2
경력개발이해와상담,HRD030,2학기,HRD학과,1,2,화03A~04B,50,1
경력개발이해와상담,HRD030,2학기,HRD학과,2,2,화03A~04B,50,1
경력개발이해와상담,HRD030,2학기,HRD학과,3,2,화03A~04B,50,2
경력개발이해와상담,HRD030,2학기,HRD학과,4,2,화06A~07B,50,2
경력개발이해와상담,HRD030,2학기,HRD학과,5,2,화03A~04B,50,2
경력개발이해와상담,HRD030,2학기,HRD학과,6,2,화01A~02B,50,2
경력개발이해와상담,HRD030,2학기,HRD학과,7,2,화03A~04B,50,2
경력개발이해와상담,HRD030,2학기,HRD학과,8,2,화03A~04B,50,2
경력개발이해와상담,HRD030,2학기,HRD학과,9,2,화06A~07B,50,2
경력개발이해와상담,HRD030,2학기,HRD학과,10,2,화01A~02B,50,2
HRD개론,HRD140,2학기,HRD학과,1,2,화08A~09B,50,1
HRD개론,HRD140,2학기,HRD학과,2,2,화08A~09B,50,1
HRD개론,HRD140,2학기,HRD학과,3,2,화06A~07B,50,1
HRD개론,HRD140,2학기,HRD학과,4,2,화06A~07B,50,1
HRD개론,HRD140,2학기,HRD학과,5,2,월01A~02B,50,1
HRD개론,HRD140,2학기,HRD학과,6,2,월01A~02B,50,1
HRD개론,HRD140,2학기,HRD학과,7,2,월03A~04B,50,1
HRD개론,HRD140,2학기,HRD학과,8,2,월03A~04B,50,1
HRD개론,HRD140,2학기,HRD학과,9,2,화03A~04B,50,1
HRD개론,HRD140,2학기,HRD학과,10,2,화03A~04B,50,1
HRD개론,HRD140,2학기,HRD학과,11,2,화03A~04B,50,1
교육학개론,EDU111,2학기,HRD학과,1,2,화01A~02B,50,0
공업교과교재연구및지도방법,EDU131,2학기,HRD학과,1,2,목03A~04B,50,0
교육과정,EDU141,2학기,HRD학과,1,2,화08A~09B,50,0
교육평가,EDU142,2학기,HRD학과,1,2,화03A~04B,50,0
교육방법및교육공학,EDU151,2학기,HRD학과,1,2,월08A~09B,50,0
교육사회,EDU160,2학기,HRD학과,1,2,화06A~07B,50,0
교육심리,EDU210,2학기,HRD학과,1,2,금06A~07B,50,0
공업교과교육론,EDU221,2학기,HRD학과,1,2,수01A~02B,50,0
학교폭력예방및학생의이해,EDU236,2학기,HRD학과,1,2,금08A~09B,50,0
특수교육학개론,EDU771,2학기,HRD학과,1,2,금03A~04B,50,0
교직실무,EDU780,2학기,HRD학과,1,2,목01A~02B,50,0
교육봉사활동,EDU790,2학기,HRD학과,1,2,0,50,0
